Number,Concept,Description,Described In,Figure,Definition,sentence,kw_bert,Synonyms
11.5.3,PLAN RISK RESPONSES: OUTPUTS,,,,,[],[],[]
11.5.3.1,CHANGE REQUESTS,". planned risk responses may result in a change request to the cost and schedule
baselines or other components of the project management plan: change requests are processed for review
disposition through the perform integrated change control process (section 4.6).",4.3.3.4,,. plan risk response may result in a change request to the cost and schedulebaseline or other component of the project management plan change request be process for reviewdisposition through the perform integrate change control process section 4.6 .,"['.', 'plan risk response may result in a change request to the cost and schedulebaseline or other component of the project management plan change request be process for reviewdisposition through the perform integrate change control process section 4.6 .']","['plan risk response', 'plan change request', 'plan risk', 'management plan change', 'plan change']","['plan chance response', 'plan risk reaction', 'contrive risk reply', 'project jeopardy answer', 'programme run a risk response', 'design risk of infection reaction', 'architectural plan deepen asking', 'be after deepen postulation', 'be after convert asking', 'plan modify quest', 'contrive switch request', 'program interchange postulation', 'architectural plan hazard', 'design put on the line', 'architectural plan risk of exposure', 'project adventure', 'programme lay on the line', 'be after lay on the line', 'direction be after variety', 'direction be after exchange', 'management programme modify', 'management architectural plan exchange', 'management architectural plan alteration', 'management project convert', 'program alter', 'plan transfer', 'be after interchange', 'program shift', 'project alteration', 'be after variety']"
11.5.3.2,PROJECT MANAGEMENT PLAN UPDATES,"
any change to the project management plan goes through the organization's change control process via a change
request. components that may require a change request for the project management plan include but are not limited to:
schedule management plan.. changes to the schedule management plan, such as
changes to resource loading and leveling, or updates to the schedule strategy, are incorporated.
cost management plan.. changes to the cost management plan, such as changes
to cost accounting, tracking,and reports, as well as updates to the budget strategy and how contingency reserves
are consumed, are incorporated:
quality management plan:. changes to the quality management plan, such as
changes to approaches for meeting requirements, quality management approaches; or quality control processes,
are incorporated:
resource management plan.. changes to the resource management plan; such as
changes to resource allocation, as well as updates to the resource strategy, are incorporated 
procurement management plan.. changes to the procurement management
plan, such as alterations in the make-or-buy decision or contract type(s) , are incorporated.
scope baseline.. changes in the scope baseline are incorporated in response to
approved changes in scope that may arise from agreed-upon risk responses
schedule baseline.. changes in the schedule baseline are incorporated in response
to approved changes in schedule estimates that may arise from agreed-upon risk responses.
cost baseline: described in  section 7.3.3.1. changes in the cost baseline are incorporated in response to
approved changes in cost estimates that may arise from agreed-upon risk responses:
447
2
for
not","6.1.3.1, 7.1.3.1, 8.1.3.1, 9.1.3.1, 12.1.3.1, 5.4.3.1, 6.5.3.1",,"any change to the project management plan go through the organization change control process via a changerequest . component that may require a change request for the project management plan include but be not limit toschedule management plan .. change to the schedule management plan , such aschange to resource loading and leveling , or update to the schedule strategy , be incorporated.cost management plan .. change to the cost management plan , such as changesto cost accounting , tracking , and report , as well as update to the budget strategy and how contingency reservesare consume , be incorporatedquality management plan . change to the quality management plan , such aschange to approach for meeting requirement , quality management approach or quality control process , be incorporatedresource management plan .. change to the resource management plan such aschange to resource allocation , as well as update to the resource strategy , be incorporate procurement management plan .. change to the procurement managementplan , such as alteration in the makeorbuy decision or contract type , be incorporated.scope baseline .. change in the scope baseline be incorporate in response toapprove change in scope that may arise from agreedupon risk responsesschedule baseline .. change in the schedule baseline be incorporate in responseto approve change in schedule estimate that may arise from agreedupon risk responses.cost baseline describe in section 7.3.3.1 . change in the cost baseline be incorporate in response toapprove change in cost estimate that may arise from agreedupon risk responses4472fornot","['any change to the project management plan go through the organization change control process via a changerequest .', 'component that may require a change request for the project management plan include but be not limit toschedule management plan .. change to the schedule management plan , such aschange to resource loading and leveling , or update to the schedule strategy , be incorporated.cost management plan ..', 'change to the cost management plan , such as changesto cost accounting , tracking , and report , as well as update to the budget strategy and how contingency reservesare consume , be incorporatedquality management plan .', 'change to the quality management plan , such aschange to approach for meeting requirement , quality management approach or quality control process , be incorporatedresource management plan ..', 'change to the resource management plan such aschange to resource allocation , as well as update to the resource strategy , be incorporate procurement management plan ..', 'change to the procurement managementplan , such as alteration in the makeorbuy decision or contract type , be incorporated.scope baseline ..', 'change in the scope baseline be incorporate in response toapprove change in scope that may arise from agreedupon risk responsesschedule baseline ..', 'change in the schedule baseline be incorporate in responseto approve change in schedule estimate that may arise from agreedupon risk responses.cost baseline describe in section 7.3.3.1 .', 'change in the cost baseline be incorporate in response toapprove change in cost estimate that may arise from agreedupon risk responses4472fornot']","['plan change procurement', 'change procurement managementplan', 'procurement managementplan alteration', 'management plan changesto', 'change request project']","['program deepen procurement', 'program commute procurance', 'plan modification procurance', 'project variety procural', 'design exchange procurement', 'program change procurement', 'shift call for send off', 'convert request jut', 'vary asking task', 'deepen quest propose', 'interchange request task', 'convert petition figure']"
11.5.3.3,PROJECT DOCUMENTS UPDATES,"
project documents that may be updated as a result of carrying out this process include but are not limited to:
assumption log:. during the plan risk responses process, new assumptions
may be made; new constraints
be identified, and existing assumptions or constraints may be revisited and
changed: the assumption log should be updated with this new information.
cost forecasts.. cost forecasts may change as a result of planned risk responses
lessons learned register:. the lessons learned register is updated with information
about risk responses that may be useful for future phases of the project or future projects.
project schedule:. activities relating to agreed-upon risk responses may be added
to the project schedule.
project team  assignments.. once the responses are confirmed, the necessary
resources should be allocated to each action associated with a risk response plan. these resources include suitably
qualified and experienced personnel to execute the agreed-upon action (usually within the project team) a specific
budget and time allowance for the action, and any required technical resources to complete the action:
risk register:. the risk register is updated when appropriate risk responses are
chosen and agreed upon. updates to the risk register may include but are not limited to:
agreed-upon response strategies;
specific actions to implement the chosen response strategy;
trigger conditions, symptoms; and warning signs of a risk occurrence;
budget and schedule activities required to implement the chosen responses;
contingency plans and risk triggers that call for their execution;
fallback plans for use when a risk that has occurred and the primary response proves to be inadequate;
residual risks that are expected to remain after planned responses have been taken; as well as those that
have been deliberately accepted; and
secondary risks that arise as a direct outcome of implementing a risk response
risk report:. the risk report may be updated to present agreed-upon responses
to the current overall project risk exposure and high-priority risks, together with the expected changes that may
be expected as a result of implementing these responses.
448
part 1
guide
may
for
not","4.1.3.2, 7.4.3.2, 4.4.3.1, 6.5.3.2, 9.3.3.2, 11.2.3.1, 11.2.3.2",,"project document that may be update as a result of carry out this process include but be not limited toassumption log . during the plan risk response process , new assumptionsmay be make new constraintsbe identify , and exist assumption or constraint may be revisit andchange the assumption log should be update with this new information.cost forecast .. cost forecast may change as a result of plan risk responseslesson learn register . the lesson learn register be update with informationabout risk response that may be useful for future phase of the project or future projects.project schedule . activity relate to agreedupon risk response may be addedto the project schedule.project team assignment .. once the response be confirm , the necessaryresource should be allocate to each action associate with a risk response plan . these resource include suitablyqualifie and experience personnel to execute the agreedupon action usually within the project team a specificbudget and time allowance for the action , and any require technical resource to complete the actionrisk register . the risk register be update when appropriate risk response arechosen and agree upon . update to the risk register may include but be not limit toagreedupon response strategiesspecific action to implement the choose response strategytrigger condition , symptom and warn sign of a risk occurrencebudget and schedule activity require to implement the choose responsescontingency plan and risk trigger that call for their executionfallback plan for use when a risk that have occur and the primary response prove to be inadequateresidual risk that be expect to remain after plan response have be take as well as those thathave be deliberately accept andsecondary risk that arise as a direct outcome of implement a risk responserisk report . the risk report may be update to present agreedupon responsesto the current overall project risk exposure and highpriority risk , together with the expect change that maybe expect as a result of implement these responses.448part 1guidemayfornot","['project document that may be update as a result of carry out this process include but be not limited toassumption log .', 'during the plan risk response process , new assumptionsmay be make new constraintsbe identify , and exist assumption or constraint may be revisit andchange the assumption log should be update with this new information.cost forecast .. cost forecast may change as a result of plan risk responseslesson learn register .', 'the lesson learn register be update with informationabout risk response that may be useful for future phase of the project or future projects.project schedule .', 'activity relate to agreedupon risk response may be addedto the project schedule.project team assignment .. once the response be confirm , the necessaryresource should be allocate to each action associate with a risk response plan .', 'these resource include suitablyqualifie and experience personnel to execute the agreedupon action usually within the project team a specificbudget and time allowance for the action , and any require technical resource to complete the actionrisk register .', 'the risk register be update when appropriate risk response arechosen and agree upon .', 'update to the risk register may include but be not limit toagreedupon response strategiesspecific action to implement the choose response strategytrigger condition , symptom and warn sign of a risk occurrencebudget and schedule activity require to implement the choose responsescontingency plan and risk trigger that call for their executionfallback plan for use when a risk that have occur and the primary response prove to be inadequateresidual risk that be expect to remain after plan response have be take as well as those thathave be deliberately accept andsecondary risk that arise as a direct outcome of implement a risk responserisk report .', 'the risk report may be update to present agreedupon responsesto the current overall project risk exposure and highpriority risk , together with the expect change that maybe expect as a result of implement these responses.448part 1guidemayfornot']","['plan risk response', 'risk response plan', 'risk response process', 'responsescontingency plan risk', 'informationabout risk response']","['plan chance response', 'plan risk reaction', 'contrive risk reply', 'project jeopardy answer', 'programme run a risk response', 'design risk of infection reaction', 'endangerment reception contrive', 'peril reply architectural plan', 'take chances reply architectural plan', 'gamble reaction programme', 'peril reaction project', 'chance response design', 'danger reply unconscious process', 'run a risk reception work', 'risk of infection reply process', 'lay on the line reply mental process', 'jeopardy reply sue', 'take a chance reception operation']"
11.6,IMPLEMENT RISK RESPONSES,"
implement risk responses is the process of implementing agreed-upon risk response plans the key benefit of
this process is that it ensures that agreed-upon risk responses are executed as planned in order to address overall
project risk exposure, minimize individual project threats, and maximize individual project opportunities this process is
performed throughout the project: the inputs, tools and techniques, and outputs of the process are depicted in figure
11-18. figure 11-19 depicts the data
diagram for the process.
implement risk responses
figure 11-18. implement risk responses: inputs, tools & techniques, and outputs
figure 11-19. implement risk responses: data flow diagram
449
03
flow
not
proper attention to the implement risk responses process will ensure that agreed-upon risk responses are actually
executed. a common problem with project risk management is that project teams spend effort in identifying and
analyzing risks and developing risk responses, then risk responses are agreed upon and documented in the risk register
and risk report; but no action is taken to manage the risk
only if risk owners give the required level of effort to implementing the agreed-upon responses will the overall risk
exposure of the project and individual threats and opportunities be managed proactively:",,"PMBOOKimgs/figure11-19, 11-18, 11-19.png","implement risk response be the process of implement agreedupon risk response plan the key benefit ofthis process be that it ensure that agreedupon risk response be execute as plan in order to address overallproject risk exposure , minimize individual project threat , and maximize individual project opportunity this process isperforme throughout the project the input , tool and technique , and output of the process be depict in figure1118 . figure 1119 depict the datadiagram for the process.implement risk responsesfigure 1118 . implement risk response input , tool technique , and outputsfigure 1119 . implement risk response datum flow diagram44903flownotprop attention to the implement risk response process will ensure that agreedupon risk response be actuallyexecute . a common problem with project risk management be that project team spend effort in identify andanalyze risk and develop risk response , then risk response be agree upon and document in the risk registerand risk report but no action be take to manage the riskonly if risk owner give the require level of effort to implement the agreedupon response will the overall riskexposure of the project and individual threat and opportunity be manage proactively","['implement risk response be the process of implement agreedupon risk response plan the key benefit ofthis process be that it ensure that agreedupon risk response be execute as plan in order to address overallproject risk exposure , minimize individual project threat , and maximize individual project opportunity this process isperforme throughout the project the input , tool and technique , and output of the process be depict in figure1118 .', 'figure 1119 depict the datadiagram for the process.implement risk responsesfigure 1118 .', 'implement risk response input , tool technique , and outputsfigure 1119 .', 'implement risk response datum flow diagram44903flownotprop attention to the implement risk response process will ensure that agreedupon risk response be actuallyexecute .', 'a common problem with project risk management be that project team spend effort in identify andanalyze risk and develop risk response , then risk response be agree upon and document in the risk registerand risk report but no action be take to manage the riskonly if risk owner give the require level of effort to implement the agreedupon response will the overall riskexposure of the project and individual threat and opportunity be manage proactively']","['project risk management', 'risk response process', 'develop risk response', 'risk management project', 'implement risk response']","['see risk of exposure direction', 'task risk of exposure direction', 'externalize risk of exposure direction', 'jut out take chances management', 'propose run a risk direction', 'picture danger management', 'danger reply unconscious process', 'run a risk reception work', 'risk of infection reply process', 'lay on the line reply mental process', 'jeopardy reply sue', 'take a chance reception operation', 'rise chance reply', 'spring up risk of infection reply', 'arise lay on the line reception', 'rise lay on the line reaction', 'formulate danger response', 'germinate endangerment response', 'gamble management undertaking', 'chance management envision', 'chance direction cast', 'take a chance management picture', 'take a chance management jut out', 'put on the line management jut', 'go through chance response', 'carry out take a chance response', 'put through risk of exposure reception', 'follow up endangerment reaction', 'follow up put on the line reaction', 'follow through take a chance response']"
11.6.1,IMPLEMENT RISK RESPONSES: INPUTS,,,,,[],[],[]
11.6.1.1,PROJECT MANAGEMENT PLAN,"
described in  section 4.2.3.1. project management plan  components include but are not limited to the risk
management plan., the risk management plan lists the roles and responsibilities of
project team members and other stakeholders for risk management this information is used when allocating owners
for agreed-upon risk responses the risk management plan also defines the level of detail for the risk management
methodology for the project italso specifies risk thresholds for the project based on the risk appetite of key stakeholders,
which define the acceptable target that the implementation of risk responses is required to achieve.",11.1.3.1,,"describe in section 4.2.3.1 . project management plan component include but be not limit to the riskmanagement plan . , the risk management plan list the role and responsibility ofproject team member and other stakeholder for risk management this information be use when allocate ownersfor agreedupon risk response the risk management plan also define the level of detail for the risk managementmethodology for the project italso specify risk threshold for the project base on the risk appetite of key stakeholder , which define the acceptable target that the implementation of risk response be require to achieve .","['describe in section 4.2.3.1 .', 'project management plan component include but be not limit to the riskmanagement plan .', ', the risk management plan list the role and responsibility ofproject team member and other stakeholder for risk management this information be use when allocate ownersfor agreedupon risk response the risk management plan also define the level of detail for the risk managementmethodology for the project italso specify risk threshold for the project base on the risk appetite of key stakeholder , which define the acceptable target that the implementation of risk response be require to achieve .']","['riskmanagement plan risk', 'risk management plan', 'riskmanagement plan', 'risk managementmethodology project', 'plan risk management']","['hazard direction project', 'take a chance direction architectural plan', 'lay on the line management programme', 'lay on the line management be after', 'endangerment management architectural plan', 'chance direction architectural plan', 'program take chances direction', 'plan chance management', 'contrive risk of exposure management', 'be after endangerment management', 'architectural plan take a chance direction', 'contrive hazard direction']"
11.6.1.2,PROJECT DOCUMENTS,"
project documents that can be considered as inputs for this process include but are not limited to:
lessons learned register:. lessons learned earlier in the project with regard
to implementing risk responses can be applied to later phases in the project to improve the effectiveness
of this process.
risk register:. the risk register records the agreed-upon risk responses for each
individual risk and the nominated owners for each response plan.
risk report:. the risk report includes an assessment of the current overall project
risk exposure, as well as the agreed-upon risk response strategy: it also describes the major individual project
risks with their planned responses.","4.4.3.1, 11.2.3.1, 11.2.3.2",,"project document that can be consider as input for this process include but be not limit tolesson learn register . lesson learn early in the project with regardto implement risk response can be apply to late phase in the project to improve the effectivenessof this process.risk register . the risk register record the agreedupon risk response for eachindividual risk and the nominated owner for each response plan.risk report . the risk report include an assessment of the current overall projectrisk exposure , as well as the agreedupon risk response strategy it also describe the major individual projectrisk with their plan response .","['project document that can be consider as input for this process include but be not limit tolesson learn register .', 'lesson learn early in the project with regardto implement risk response can be apply to late phase in the project to improve the effectivenessof this process.risk register .', 'the risk register record the agreedupon risk response for eachindividual risk and the nominated owner for each response plan.risk report .', 'the risk report include an assessment of the current overall projectrisk exposure , as well as the agreedupon risk response strategy it also describe the major individual projectrisk with their plan response .']","['regardto implement risk', 'risk register', 'implement risk response', 'process risk register', 'register risk register']","['risk of exposure show', 'adventure read', 'peril record', 'adventure record', 'danger registry', 'lay on the line read', 'go through chance response', 'carry out take a chance response', 'put through risk of exposure reception', 'follow up endangerment reaction', 'follow up put on the line reaction', 'follow through take a chance response', 'action take a chance read', 'litigate risk of infection registry', 'mental process jeopardy registry', 'process risk of exposure read', 'procedure peril registry', 'unconscious process risk show', 'read gamble record', 'show hazard registry', 'registry put on the line record', 'cross-file lay on the line record', 'file put on the line cash register', 'show danger cash register']"
11.6.1.3,ORGANIZATIONAL PROCESS ASSETS,"
the organizational process assets that can influence the implement risk responses process include but are not
limited to the lessons learned repository from similar completed projects that indicate the effectiveness of particular
risk responses.
450
part 1
guide
1
le
no",,,the organizational process asset that can influence the implement risk response process include but be notlimite to the lesson learn repository from similar complete project that indicate the effectiveness of particularrisk responses.450part 1guide1leno,['the organizational process asset that can influence the implement risk response process include but be notlimite to the lesson learn repository from similar complete project that indicate the effectiveness of particularrisk responses.450part 1guide1leno'],"['risk response process', 'implement risk response', 'risk response', 'organizational process asset', 'implement risk']","['danger reply unconscious process', 'run a risk reception work', 'risk of infection reply process', 'lay on the line reply mental process', 'jeopardy reply sue', 'take a chance reception operation', 'go through chance response', 'carry out take a chance response', 'put through risk of exposure reception', 'follow up endangerment reaction', 'follow up put on the line reaction', 'follow through take a chance response', 'lay on the line response', 'gamble reply', 'chance reception', 'risk reaction', 'take a chance response', 'take chances answer', 'organizational action plus', 'organizational physical process asset', 'organisational march asset', 'organizational operation asset', 'organisational work on plus', 'organizational unconscious process plus', 'put through take chances', 'go through risk', 'follow through risk', 'follow out gamble', 'enforce gamble', 'follow out run a risk']"
11.6.2,IMPLEMENT RISK RESPONSES: TOOLS AND TECHNIQUES,,,,,[],[],[]
11.6.2.1,EXPERT JUDGMENT,"
described  in  section 4.1.2.1. expertise should be considered from individuals or groups with  specialized
knowledge to validate or modify risk responses if necessary; and decide how to implement them in the most
efficient and effective manner:",,,describe in section 4.1.2.1 . expertise should be consider from individual or group with specializedknowledge to validate or modify risk response if necessary and decide how to implement they in the mostefficient and effective manner,"['describe in section 4.1.2.1 .', 'expertise should be consider from individual or group with specializedknowledge to validate or modify risk response if necessary and decide how to implement they in the mostefficient and effective manner']","['expertise consider individual', 'risk response', 'risk response necessary', 'modify risk response', 'individual group specializedknowledge']","['expertness weigh somebody', 'expertise moot individual', 'expertise debate item-by-item', 'expertness moot soul', 'expertise view soul', 'expertise conceive soul', 'lay on the line response', 'gamble reply', 'chance reception', 'risk reaction', 'take a chance response', 'take chances answer', 'hazard reception necessity', 'chance response requirement', 'take a chance response requirement', 'peril reaction necessity', 'take a chance answer essential', 'jeopardy answer essential', 'alter run a risk answer', 'alter adventure answer', 'modify danger response', 'modify risk of exposure response', 'alter lay on the line answer', 'qualify chance reception']"
11.6.2.2,INTERPERSONAL AND TEAM SKILLS,"
interpersonal and team skills that can be used for this process include but are not limited to influencing: some risk
response actions may be owned by people outside the immediate project team or who have other competing demands.
the project manager or person responsible for facilitating the risk process may need to exercise influencing (see
section 9.5.2.1) to encourage nominated risk owners to take necessary action where required.",,,interpersonal and team skill that can be use for this process include but be not limit to influence some riskresponse action may be own by people outside the immediate project team or who have other compete demands.the project manager or person responsible for facilitate the risk process may need to exercise influence seesection 9.5.2.1 to encourage nominate risk owner to take necessary action where require .,['interpersonal and team skill that can be use for this process include but be not limit to influence some riskresponse action may be own by people outside the immediate project team or who have other compete demands.the project manager or person responsible for facilitate the risk process may need to exercise influence seesection 9.5.2.1 to encourage nominate risk owner to take necessary action where require .'],"['facilitate risk process', 'risk process need', 'risk process', 'nominate risk owner', 'riskresponse action people']","['facilitate endangerment work', 'ease jeopardy work', 'alleviate peril operation', 'facilitate endangerment cognitive process', 'facilitate risk of exposure physical process', 'help danger operation', 'take a chance sue require', 'hazard work on penury', 'take a chance procedure call for', 'gamble unconscious process involve', 'risk outgrowth pauperism', 'risk mental process ask', 'put on the line work', 'risk of infection litigate', 'risk of exposure march', 'adventure sue', 'take a chance serve', 'gamble unconscious process', 'put up jeopardy owner', 'constitute gamble possessor', 'put forward put on the line possessor', 'make take chances proprietor', 'make hazard owner', 'name danger proprietor']"
11.6.2.3,PROJECT MANAGEMENT INFORMATION SYSTEM (PMIS),". project management information systems can include schedule, resource, and cost
software to ensure that agreed-upon risk response plans and their associated activities are integrated into the project
alongside other project activities:",4.3.2.2,,". project management information system can include schedule , resource , and costsoftware to ensure that agreedupon risk response plan and their associate activity be integrate into the projectalongside other project activity","['.', 'project management information system can include schedule , resource , and costsoftware to ensure that agreedupon risk response plan and their associate activity be integrate into the projectalongside other project activity']","['project management information', 'project management', 'project activity', 'risk response plan', 'integrate projectalongside project']","['task management information', 'protrude management info', 'protrude direction information', 'project management selective information', 'undertaking direction entropy', 'stick out direction entropy', 'envision direction', 'contrive management', 'send off direction', 'externalise direction', 'jut out management', 'stick out management', 'design activeness', 'figure natural action', 'task body process', 'stick out activeness', 'stick out natural process', 'envision action', 'endangerment reception contrive', 'peril reply architectural plan', 'take chances reply architectural plan', 'gamble reaction programme', 'peril reaction project', 'chance response design']"
11.6.3,IMPLEMENT RISK RESPONSES: OUTPUTS,,,,,[],[],[]
11.6.3.1,CHANGE REQUESTS,". implementation of risk responses may result in
a
change request to the cost and
schedule baselines or other components of the project management plan. change requests are processed for review
and disposition through the perform
change control process (section 4.6).
451
ctic
rg
'sale
distri""%
for
not",4.3.3.4,,. implementation of risk response may result inachange request to the cost andschedule baseline or other component of the project management plan . change request be process for reviewand disposition through the performchange control process section 4.6.451cticrgsaledistrifornot,"['.', 'implementation of risk response may result inachange request to the cost andschedule baseline or other component of the project management plan .', 'change request be process for reviewand disposition through the performchange control process section 4.6.451cticrgsaledistrifornot']","['implementation risk response', 'plan change request', 'change request process', 'change request', 'request process reviewand']","['carrying out peril reception', 'carrying out chance response', 'effectuation put on the line answer', 'effectuation danger reply', 'implementation endangerment reaction', 'effectuation jeopardy answer', 'architectural plan deepen asking', 'be after deepen postulation', 'be after convert asking', 'plan modify quest', 'contrive switch request', 'program interchange postulation', 'commute petition procedure', 'interchange asking work on', 'modify request mental process', 'alter call for action', 'switch bespeak cognitive operation', 'transfer quest work on', 'shift petition', 'modify call for', 'switch bespeak', 'change request', 'change quest', 'transfer bespeak']"
11.6.3.2,PROJECT DOCUMENTS UPDATES,"
project documents that may be updated as a result of carrying out this process include but are not limited to:
issue log:. where issues are identified as part of the implement risk responses
process;
are recorded in the issue log:
lessons learned register:. the lessons learned register is updated with information
on challenges encountered when implementing risk responses and how
could have been avoided, as well
as
approaches that worked well for implementing risk responses.
project team assignments:. once the risk responses are confirmed, the necessary
resources should be allocated to each action associated with a risk response plan: these resources include
suitably qualified and experienced personnel to execute the agreed-upon action (usually within the project team) ,
a
specific budget and time allowance for the action; and any required technical resources to complete the action:
risk register:. the risk register may be updated to reflect any changes to the
previously agreed-upon risk responses for individual project risks that are subsequently made as a result of the
implement risk responses process.
risk report. the risk report may be updated to reflect any changes to the
previously agreed-upon risk response to overall project risk exposure that are subsequently made as a result of
the implement risk responses process:
452
part 1
guide
they
they
sales
distribution;
for
not","4.3.3.3, 4.4.3.1, 9.3.3.2, 11.2.3.1, 11.2.3.2",,"project document that may be update as a result of carry out this process include but be not limited toissue log . where issue be identify as part of the implement risk responsesprocessare record in the issue loglesson learn register . the lesson learn register be update with informationon challenge encounter when implement risk response and howcould have be avoid , as wellasapproache that work well for implement risk responses.project team assignment . once the risk response be confirm , the necessaryresource should be allocate to each action associate with a risk response plan these resource includesuitably qualified and experienced personnel to execute the agreedupon action usually within the project team , aspecific budget and time allowance for the action and any require technical resource to complete the actionrisk register . the risk register may be update to reflect any change to thepreviously agreedupon risk response for individual project risk that be subsequently make as a result of theimplement risk response process.risk report . the risk report may be update to reflect any change to thepreviously agreedupon risk response to overall project risk exposure that be subsequently make as a result ofthe implement risk response process452part 1guidetheytheysalesdistributionfornot","['project document that may be update as a result of carry out this process include but be not limited toissue log .', 'where issue be identify as part of the implement risk responsesprocessare record in the issue loglesson learn register .', 'the lesson learn register be update with informationon challenge encounter when implement risk response and howcould have be avoid , as wellasapproache that work well for implement risk responses.project team assignment .', 'once the risk response be confirm , the necessaryresource should be allocate to each action associate with a risk response plan these resource includesuitably qualified and experienced personnel to execute the agreedupon action usually within the project team , aspecific budget and time allowance for the action and any require technical resource to complete the actionrisk register .', 'the risk register may be update to reflect any change to thepreviously agreedupon risk response for individual project risk that be subsequently make as a result of theimplement risk response process.risk report .', 'the risk report may be update to reflect any change to thepreviously agreedupon risk response to overall project risk exposure that be subsequently make as a result ofthe implement risk response process452part 1guidetheytheysalesdistributionfornot']","['risk response process', 'risk responses project', 'risk response howcould', 'risk response plan', 'risk responsesprocessare']","['danger reply unconscious process', 'run a risk reception work', 'risk of infection reply process', 'lay on the line reply mental process', 'jeopardy reply sue', 'take a chance reception operation', 'lay on the line answer jut out', 'gamble reply design', 'hazard reaction picture', 'chance reply see', 'adventure reception plan', 'adventure reaction image', 'endangerment reception contrive', 'peril reply architectural plan', 'take chances reply architectural plan', 'gamble reaction programme', 'peril reaction project', 'chance response design']"
11.7,MONITOR RISKS,"
monitor risks is the process of monitoring the implementation of agreed-upon risk response plans, tracking identified
risks, identifying and analyzing new risks, and evaluating risk process effectiveness throughout the project: the key
benefit of this process is that it enables project decisions to be based on current information about overall project risk
exposure and individual project risks. this process is performed throughout the project. the inputs, tools and techniques,
and outputs of the process are depicted in figure 11-20. figure 11-21 depicts the data flow diagram for the process.
monitor risks
~
figure 11-20. monitor risks: inputs; tools & techniques, and outputs
453
distribution
for
not
figure 11-21. monitor risks: data flow diagram
in order to ensure that the project team and key stakeholders are aware of the current level of risk exposure, project
work should be continuously monitored for new; changing; and outdated individual project risks and for changes in
the level of overall project risk by applying the monitor risks process the monitor risks process uses performance
information generated during project execution to determine if:
implemented risk responses are effective ,
level of overall project risk has changed,
status of identified individual project risks has changed,
new individual project risks have arisen;
risk management approach is still appropriate ,
project assumptions are still valid,
risk management policies and procedures are being followed,
contingency reserves for cost or schedule require modification, and
project strategy is still valid.
454
part 1
guide
6
no:",,"PMBOOKimgs/figure11-20, 11-21, 11-20, 11-21.png","monitor risk be the process of monitor the implementation of agreedupon risk response plan , track identifiedrisk , identify and analyze new risk , and evaluate risk process effectiveness throughout the project the keybenefit of this process be that it enable project decision to be base on current information about overall project riskexposure and individual project risk . this process be perform throughout the project . the input , tool and technique , and output of the process be depict in figure 1120 . figure 1121 depict the data flow diagram for the process.monitor risksfigure 1120 . monitor risks input tool technique , and outputs453distributionfornotfigure 1121 . monitor risks datum flow diagramin order to ensure that the project team and key stakeholder be aware of the current level of risk exposure , projectwork should be continuously monitor for new change and outdated individual project risk and for change inthe level of overall project risk by apply the monitor risk process the monitor risk process use performanceinformation generate during project execution to determine ifimplemente risk response be effective , level of overall project risk have change , status of identify individual project risk have change , new individual project risk have arisenrisk management approach be still appropriate , project assumption be still valid , risk management policy and procedure be be follow , contingency reserve for cost or schedule require modification , andproject strategy be still valid.454part 1guide6no","['monitor risk be the process of monitor the implementation of agreedupon risk response plan , track identifiedrisk , identify and analyze new risk , and evaluate risk process effectiveness throughout the project the keybenefit of this process be that it enable project decision to be base on current information about overall project riskexposure and individual project risk .', 'this process be perform throughout the project .', 'the input , tool and technique , and output of the process be depict in figure 1120 .', 'figure 1121 depict the data flow diagram for the process.monitor risksfigure 1120 .', 'monitor risks input tool technique , and outputs453distributionfornotfigure 1121 .', 'monitor risks datum flow diagramin order to ensure that the project team and key stakeholder be aware of the current level of risk exposure , projectwork should be continuously monitor for new change and outdated individual project risk and for change inthe level of overall project risk by apply the monitor risk process the monitor risk process use performanceinformation generate during project execution to determine ifimplemente risk response be effective , level of overall project risk have change , status of identify individual project risk have change , new individual project risk have arisenrisk management approach be still appropriate , project assumption be still valid , risk management policy and procedure be be follow , contingency reserve for cost or schedule require modification , andproject strategy be still valid.454part 1guide6no']","['project risk process', 'project riskexposure', 'overall project riskexposure', 'monitor risk process', 'evaluate risk process']","['cast danger summons', 'propose run a risk mental process', 'project risk of exposure march', 'protrude endangerment physical process', 'picture take a chance cognitive process', 'image take chances litigate', 'proctor hazard operation', 'monitor lizard peril serve', 'monitor lizard take a chance cognitive operation', 'monitoring device danger appendage', 'monitor peril litigate', 'varan peril action', 'assess chance operation', 'valuate lay on the line treat', 'valuate chance action', 'judge risk of infection cognitive process', 'value danger swear out', 'measure endangerment procedure']"
11.7.1,MONITOR RISKS: INPUTS,,,,,[],[],[]
